ENTIDAD,NOMBRE DE LA ESCUELA,TURNO,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,ALUMNOS EVALUADOS - LENGUAJE Y COMUNICACIÓN,ALUMNOS EVALUADOS - MATEMÁTICAS,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - LENGUAJE Y COMUNICACIÓN,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - MATEMÁTICAS,NIVEL LG - PORCENTAJE ALUMNOS - I,NIVEL LG - PORCENTAJE ALUMNOS - II,NIVEL LG - PORCENTAJE ALUMNOS - III,NIVEL LG - PORCENTAJE ALUMNOS - IV,NIVEL MATE - PORCENTAJE ALUMNOS - I,NIVEL MATE - PORCENTAJE ALUMNOS -  II,NIVEL MATE - PORCENTAJE ALUMNOS - III,NIVEL MATE - PORCENTAJE ALUMNOS - IV,grupos
SAN LUIS POTOSI,ESCUELA PREPARATORIA SAN LUIS DE LA PATRIA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,11,10,SI,SI,18.2,36.4,36.4,9.1,70.0,20.0,10.0,0.0,2
SAN LUIS POTOSI,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,60,67,SI,SI,23.3,35.0,35.0,6.7,64.2,22.4,7.5,6.0,2
SAN LUIS POTOSI,INSTITUTO EDUCA SOPHIA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,10,13,SI,SI,30.0,40.0,20.0,10.0,76.9,15.4,7.7,0.0,2
SAN LUIS POTOSI,INSTITUTO SANTA RITA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,14,13,SI,SI,28.6,35.7,35.7,0.0,84.6,7.7,7.7,0.0,2
SAN LUIS POTOSI,INSTITUTO GABRIEL AGUIRRE,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,14,14,SI,SI,28.6,28.6,42.9,0.0,78.6,14.3,7.1,0.0,2
SAN LUIS POTOSI,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,68,71,SI,SI,33.8,25.0,32.4,8.8,71.8,22.5,4.2,1.4,2
SAN LUIS POTOSI,NICOLAS LEON,VESPERTINO,SAN LUIS POTOSI,PEÑASCO,19,19,SI,SI,57.9,31.6,10.5,0.0,94.7,5.3,0.0,0.0,3
SAN LUIS POTOSI,MIGUEL DE CERVANTES SAAVEDRA,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,16,17,SI,SI,62.5,31.3,6.3,0.0,88.2,11.8,0.0,0.0,3
SAN LUIS POTOSI,INSTITUTO JUVENTUD,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,15,16,SI,SI,46.7,20.0,26.7,6.7,81.3,12.5,0.0,6.3,3
SAN LUIS POTOSI,"INSTITUTO DE ESTUDIOS SUPERIORES DE SAN LUIS, A.C.",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,13,13,SI,SI,53.8,15.4,23.1,7.7,92.3,0.0,7.7,0.0,3
SAN LUIS POTOSI,EDUCATIVO TECNOLOGICO EMETA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,15,15,SI,SI,53.3,26.7,20.0,0.0,80.0,20.0,0.0,0.0,3
SAN LUIS POTOSI,"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,79,79,SI,SI,55.7,22.8,20.3,1.3,75.9,22.8,1.3,0.0,3
